Month,Count
1999-06,1
1999-11,1
2011-07,1
2011-10,1
2011-12,1
2012-02,1
2012-04,1
2012-05,1
2012-07,1
2012-10,1
2013-01,2
2013-02,3
2013-03,1
2013-04,3
2013-05,1
2013-07,3
2013-08,4
2013-09,3
2013-11,1
2014-09,1
2018-10,1
2020-11,1
2022-04,1
2023-06,1
2023-07,3
2023-09,1
2023-10,1
2023-12,1
2024-05,1
2024-06,1
2024-07,4
2024-09,2
2025-02,1
2025-03,1
2025-04,1
2025-05,2
2025-06,2
2025-08,1
2025-09,3
2025-10,2
2025-11,1
