original_tz,n,percentage
13:06Z,8,0.15461925009663702
13:08Z,8,0.15461925009663702
13:46Z,8,0.15461925009663702
13:56Z,8,0.15461925009663702
14:09Z,8,0.15461925009663702
15:11Z,8,0.15461925009663702
15:16Z,8,0.15461925009663702
15:52Z,8,0.15461925009663702
16:00Z,8,0.15461925009663702
16:02Z,8,0.15461925009663702
16:04Z,8,0.15461925009663702
16:16Z,8,0.15461925009663702
16:24Z,8,0.15461925009663702
16:34Z,8,0.15461925009663702
16:41Z,8,0.15461925009663702
13:47Z,7,0.13529184383455742
13:55Z,7,0.13529184383455742
14:08Z,7,0.13529184383455742
15:17Z,7,0.13529184383455742
15:20Z,7,0.13529184383455742
15:23Z,7,0.13529184383455742
15:26Z,7,0.13529184383455742
16:13Z,7,0.13529184383455742
16:15Z,7,0.13529184383455742
16:17Z,7,0.13529184383455742
16:22Z,7,0.13529184383455742
16:44Z,7,0.13529184383455742
13:49Z,6,0.11596443757247778
14:11Z,6,0.11596443757247778
14:14Z,6,0.11596443757247778
15:10Z,6,0.11596443757247778
15:18Z,6,0.11596443757247778
15:55Z,6,0.11596443757247778
15:58Z,6,0.11596443757247778
16:20Z,6,0.11596443757247778
16:21Z,6,0.11596443757247778
16:28Z,6,0.11596443757247778
16:33Z,6,0.11596443757247778
16:36Z,6,0.11596443757247778
16:37Z,6,0.11596443757247778
17:02Z,6,0.11596443757247778
17:06Z,6,0.11596443757247778
17:09Z,6,0.11596443757247778
17:13Z,6,0.11596443757247778
13:07Z,5,0.09663703131039815
14:10Z,5,0.09663703131039815
14:16Z,5,0.09663703131039815
14:52Z,5,0.09663703131039815
15:14Z,5,0.09663703131039815
15:19Z,5,0.09663703131039815
15:27Z,5,0.09663703131039815
15:42Z,5,0.09663703131039815
15:43Z,5,0.09663703131039815
15:53Z,5,0.09663703131039815
15:54Z,5,0.09663703131039815
15:57Z,5,0.09663703131039815
16:23Z,5,0.09663703131039815
16:27Z,5,0.09663703131039815
16:29Z,5,0.09663703131039815
16:38Z,5,0.09663703131039815
16:45Z,5,0.09663703131039815
16:49Z,5,0.09663703131039815
16:52Z,5,0.09663703131039815
16:58Z,5,0.09663703131039815
18:20Z,5,0.09663703131039815
14:56Z,4,0.07730962504831851
15:13Z,4,0.07730962504831851
15:15Z,4,0.07730962504831851
15:21Z,4,0.07730962504831851
15:24Z,4,0.07730962504831851
15:49Z,4,0.07730962504831851
15:56Z,4,0.07730962504831851
16:18Z,4,0.07730962504831851
16:39Z,4,0.07730962504831851
16:50Z,4,0.07730962504831851
16:56Z,4,0.07730962504831851
16:57Z,4,0.07730962504831851
16:59Z,4,0.07730962504831851
17:00Z,4,0.07730962504831851
19:27Z,4,0.07730962504831851
32:07Z,4,0.07730962504831851
34:48Z,4,0.07730962504831851
36:56Z,4,0.07730962504831851
39:21Z,4,0.07730962504831851
54:32Z,4,0.07730962504831851
01:46Z,3,0.05798221878623889
03:27Z,3,0.05798221878623889
09:13Z,3,0.05798221878623889
10:26Z,3,0.05798221878623889
13:09Z,3,0.05798221878623889
13:33Z,3,0.05798221878623889
14:13Z,3,0.05798221878623889
14:26Z,3,0.05798221878623889
14:45Z,3,0.05798221878623889
14:48Z,3,0.05798221878623889
14:54Z,3,0.05798221878623889
14:58Z,3,0.05798221878623889
15:05Z,3,0.05798221878623889
15:38Z,3,0.05798221878623889
15:39Z,3,0.05798221878623889
15:44Z,3,0.05798221878623889
15:45Z,3,0.05798221878623889
15:46Z,3,0.05798221878623889
15:50Z,3,0.05798221878623889
15:51Z,3,0.05798221878623889
16:10Z,3,0.05798221878623889
16:40Z,3,0.05798221878623889
16:42Z,3,0.05798221878623889
16:43Z,3,0.05798221878623889
16:46Z,3,0.05798221878623889
16:47Z,3,0.05798221878623889
16:53Z,3,0.05798221878623889
16:54Z,3,0.05798221878623889
17:07Z,3,0.05798221878623889
17:12Z,3,0.05798221878623889
17:15Z,3,0.05798221878623889
17:19Z,3,0.05798221878623889
17:32Z,3,0.05798221878623889
17:59Z,3,0.05798221878623889
18:04Z,3,0.05798221878623889
18:16Z,3,0.05798221878623889
19:40Z,3,0.05798221878623889
20:02Z,3,0.05798221878623889
20:25Z,3,0.05798221878623889
22:36Z,3,0.05798221878623889
23:40Z,3,0.05798221878623889
28:58Z,3,0.05798221878623889
33:13Z,3,0.05798221878623889
33:29Z,3,0.05798221878623889
38:27Z,3,0.05798221878623889
42:13Z,3,0.05798221878623889
42:18Z,3,0.05798221878623889
44:29Z,3,0.05798221878623889
44:35Z,3,0.05798221878623889
50:46Z,3,0.05798221878623889
52:09Z,3,0.05798221878623889
54:03Z,3,0.05798221878623889
56:39Z,3,0.05798221878623889
58:05Z,3,0.05798221878623889
58:26Z,3,0.05798221878623889
00:51Z,2,0.038654812524159254
01:17Z,2,0.038654812524159254
01:22Z,2,0.038654812524159254
01:51Z,2,0.038654812524159254
02:13Z,2,0.038654812524159254
02:23Z,2,0.038654812524159254
02:33Z,2,0.038654812524159254
02:53Z,2,0.038654812524159254
03:16Z,2,0.038654812524159254
03:21Z,2,0.038654812524159254
03:50Z,2,0.038654812524159254
03:55Z,2,0.038654812524159254
04:54Z,2,0.038654812524159254
06:01Z,2,0.038654812524159254
06:22Z,2,0.038654812524159254
06:31Z,2,0.038654812524159254
06:40Z,2,0.038654812524159254
06:43Z,2,0.038654812524159254
06:46Z,2,0.038654812524159254
07:03Z,2,0.038654812524159254
07:33Z,2,0.038654812524159254
07:45Z,2,0.038654812524159254
08:23Z,2,0.038654812524159254
08:40Z,2,0.038654812524159254
09:21Z,2,0.038654812524159254
09:35Z,2,0.038654812524159254
09:40Z,2,0.038654812524159254
09:42Z,2,0.038654812524159254
09:58Z,2,0.038654812524159254
10:08Z,2,0.038654812524159254
10:18Z,2,0.038654812524159254
10:21Z,2,0.038654812524159254
10:41Z,2,0.038654812524159254
11:01Z,2,0.038654812524159254
11:02Z,2,0.038654812524159254
11:14Z,2,0.038654812524159254
11:16Z,2,0.038654812524159254
11:25Z,2,0.038654812524159254
11:30Z,2,0.038654812524159254
12:44Z,2,0.038654812524159254
12:59Z,2,0.038654812524159254
13:03Z,2,0.038654812524159254
13:11Z,2,0.038654812524159254
13:26Z,2,0.038654812524159254
13:31Z,2,0.038654812524159254
13:37Z,2,0.038654812524159254
13:42Z,2,0.038654812524159254
14:27Z,2,0.038654812524159254
14:28Z,2,0.038654812524159254
14:29Z,2,0.038654812524159254
14:32Z,2,0.038654812524159254
14:33Z,2,0.038654812524159254
14:37Z,2,0.038654812524159254
14:38Z,2,0.038654812524159254
14:39Z,2,0.038654812524159254
14:41Z,2,0.038654812524159254
14:44Z,2,0.038654812524159254
14:46Z,2,0.038654812524159254
14:49Z,2,0.038654812524159254
14:55Z,2,0.038654812524159254
14:59Z,2,0.038654812524159254
15:03Z,2,0.038654812524159254
15:08Z,2,0.038654812524159254
15:12Z,2,0.038654812524159254
15:22Z,2,0.038654812524159254
15:25Z,2,0.038654812524159254
15:28Z,2,0.038654812524159254
15:29Z,2,0.038654812524159254
15:40Z,2,0.038654812524159254
15:41Z,2,0.038654812524159254
15:47Z,2,0.038654812524159254
16:51Z,2,0.038654812524159254
16:55Z,2,0.038654812524159254
17:03Z,2,0.038654812524159254
17:05Z,2,0.038654812524159254
17:08Z,2,0.038654812524159254
17:20Z,2,0.038654812524159254
17:22Z,2,0.038654812524159254
17:23Z,2,0.038654812524159254
17:26Z,2,0.038654812524159254
17:27Z,2,0.038654812524159254
17:31Z,2,0.038654812524159254
17:37Z,2,0.038654812524159254
17:41Z,2,0.038654812524159254
17:48Z,2,0.038654812524159254
17:49Z,2,0.038654812524159254
18:00Z,2,0.038654812524159254
18:11Z,2,0.038654812524159254
18:27Z,2,0.038654812524159254
18:28Z,2,0.038654812524159254
18:37Z,2,0.038654812524159254
18:55Z,2,0.038654812524159254
18:59Z,2,0.038654812524159254
19:23Z,2,0.038654812524159254
19:24Z,2,0.038654812524159254
19:36Z,2,0.038654812524159254
19:38Z,2,0.038654812524159254
20:05Z,2,0.038654812524159254
20:32Z,2,0.038654812524159254
20:33Z,2,0.038654812524159254
20:53Z,2,0.038654812524159254
21:31Z,2,0.038654812524159254
21:47Z,2,0.038654812524159254
21:49Z,2,0.038654812524159254
21:50Z,2,0.038654812524159254
22:13Z,2,0.038654812524159254
22:37Z,2,0.038654812524159254
22:39Z,2,0.038654812524159254
22:50Z,2,0.038654812524159254
22:54Z,2,0.038654812524159254
23:24Z,2,0.038654812524159254
23:41Z,2,0.038654812524159254
23:50Z,2,0.038654812524159254
23:53Z,2,0.038654812524159254
24:01Z,2,0.038654812524159254
24:12Z,2,0.038654812524159254
24:21Z,2,0.038654812524159254
24:24Z,2,0.038654812524159254
24:38Z,2,0.038654812524159254
24:42Z,2,0.038654812524159254
25:00Z,2,0.038654812524159254
25:06Z,2,0.038654812524159254
25:19Z,2,0.038654812524159254
25:44Z,2,0.038654812524159254
25:46Z,2,0.038654812524159254
25:51Z,2,0.038654812524159254
26:05Z,2,0.038654812524159254
26:14Z,2,0.038654812524159254
26:37Z,2,0.038654812524159254
27:14Z,2,0.038654812524159254
27:21Z,2,0.038654812524159254
27:52Z,2,0.038654812524159254
28:08Z,2,0.038654812524159254
28:36Z,2,0.038654812524159254
28:44Z,2,0.038654812524159254
29:03Z,2,0.038654812524159254
29:45Z,2,0.038654812524159254
30:15Z,2,0.038654812524159254
30:24Z,2,0.038654812524159254
30:25Z,2,0.038654812524159254
30:40Z,2,0.038654812524159254
31:02Z,2,0.038654812524159254
31:07Z,2,0.038654812524159254
31:24Z,2,0.038654812524159254
31:57Z,2,0.038654812524159254
32:05Z,2,0.038654812524159254
32:08Z,2,0.038654812524159254
32:12Z,2,0.038654812524159254
32:20Z,2,0.038654812524159254
32:21Z,2,0.038654812524159254
32:27Z,2,0.038654812524159254
32:50Z,2,0.038654812524159254
32:59Z,2,0.038654812524159254
33:00Z,2,0.038654812524159254
33:36Z,2,0.038654812524159254
34:19Z,2,0.038654812524159254
34:29Z,2,0.038654812524159254
34:34Z,2,0.038654812524159254
34:57Z,2,0.038654812524159254
35:12Z,2,0.038654812524159254
35:15Z,2,0.038654812524159254
35:47Z,2,0.038654812524159254
35:56Z,2,0.038654812524159254
36:01Z,2,0.038654812524159254
36:33Z,2,0.038654812524159254
36:35Z,2,0.038654812524159254
36:43Z,2,0.038654812524159254
36:57Z,2,0.038654812524159254
36:58Z,2,0.038654812524159254
37:04Z,2,0.038654812524159254
37:16Z,2,0.038654812524159254
37:31Z,2,0.038654812524159254
37:36Z,2,0.038654812524159254
37:38Z,2,0.038654812524159254
37:50Z,2,0.038654812524159254
38:01Z,2,0.038654812524159254
38:31Z,2,0.038654812524159254
38:45Z,2,0.038654812524159254
38:57Z,2,0.038654812524159254
39:04Z,2,0.038654812524159254
39:12Z,2,0.038654812524159254
39:35Z,2,0.038654812524159254
39:38Z,2,0.038654812524159254
39:42Z,2,0.038654812524159254
39:55Z,2,0.038654812524159254
40:21Z,2,0.038654812524159254
40:23Z,2,0.038654812524159254
40:26Z,2,0.038654812524159254
40:37Z,2,0.038654812524159254
41:03Z,2,0.038654812524159254
41:08Z,2,0.038654812524159254
41:13Z,2,0.038654812524159254
41:14Z,2,0.038654812524159254
41:20Z,2,0.038654812524159254
41:41Z,2,0.038654812524159254
41:47Z,2,0.038654812524159254
42:04Z,2,0.038654812524159254
42:35Z,2,0.038654812524159254
42:39Z,2,0.038654812524159254
43:14Z,2,0.038654812524159254
43:21Z,2,0.038654812524159254
43:22Z,2,0.038654812524159254
43:59Z,2,0.038654812524159254
44:01Z,2,0.038654812524159254
44:08Z,2,0.038654812524159254
44:38Z,2,0.038654812524159254
44:50Z,2,0.038654812524159254
45:13Z,2,0.038654812524159254
45:47Z,2,0.038654812524159254
46:02Z,2,0.038654812524159254
46:17Z,2,0.038654812524159254
46:19Z,2,0.038654812524159254
46:24Z,2,0.038654812524159254
46:50Z,2,0.038654812524159254
47:19Z,2,0.038654812524159254
47:27Z,2,0.038654812524159254
47:42Z,2,0.038654812524159254
47:43Z,2,0.038654812524159254
48:01Z,2,0.038654812524159254
48:08Z,2,0.038654812524159254
48:48Z,2,0.038654812524159254
49:05Z,2,0.038654812524159254
49:09Z,2,0.038654812524159254
49:20Z,2,0.038654812524159254
49:26Z,2,0.038654812524159254
49:28Z,2,0.038654812524159254
49:31Z,2,0.038654812524159254
50:22Z,2,0.038654812524159254
51:09Z,2,0.038654812524159254
51:16Z,2,0.038654812524159254
51:39Z,2,0.038654812524159254
51:42Z,2,0.038654812524159254
51:53Z,2,0.038654812524159254
51:56Z,2,0.038654812524159254
52:07Z,2,0.038654812524159254
52:13Z,2,0.038654812524159254
52:23Z,2,0.038654812524159254
52:56Z,2,0.038654812524159254
53:09Z,2,0.038654812524159254
53:15Z,2,0.038654812524159254
53:21Z,2,0.038654812524159254
53:27Z,2,0.038654812524159254
53:43Z,2,0.038654812524159254
55:03Z,2,0.038654812524159254
55:05Z,2,0.038654812524159254
55:47Z,2,0.038654812524159254
55:49Z,2,0.038654812524159254
55:54Z,2,0.038654812524159254
56:02Z,2,0.038654812524159254
56:10Z,2,0.038654812524159254
56:18Z,2,0.038654812524159254
56:26Z,2,0.038654812524159254
56:46Z,2,0.038654812524159254
57:14Z,2,0.038654812524159254
57:20Z,2,0.038654812524159254
57:45Z,2,0.038654812524159254
58:01Z,2,0.038654812524159254
58:28Z,2,0.038654812524159254
58:30Z,2,0.038654812524159254
58:32Z,2,0.038654812524159254
58:37Z,2,0.038654812524159254
58:39Z,2,0.038654812524159254
58:49Z,2,0.038654812524159254
58:51Z,2,0.038654812524159254
58:57Z,2,0.038654812524159254
59:06Z,2,0.038654812524159254
59:34Z,2,0.038654812524159254
59:45Z,2,0.038654812524159254
00:00Z,1,0.019327406262079627
00:02Z,1,0.019327406262079627
00:07Z,1,0.019327406262079627
00:12Z,1,0.019327406262079627
00:15Z,1,0.019327406262079627
00:19Z,1,0.019327406262079627
00:20Z,1,0.019327406262079627
00:21Z,1,0.019327406262079627
00:29Z,1,0.019327406262079627
00:30Z,1,0.019327406262079627
00:32Z,1,0.019327406262079627
00:39Z,1,0.019327406262079627
00:49Z,1,0.019327406262079627
00:58Z,1,0.019327406262079627
00:59Z,1,0.019327406262079627
01:04Z,1,0.019327406262079627
01:08Z,1,0.019327406262079627
01:10Z,1,0.019327406262079627
01:11Z,1,0.019327406262079627
01:16Z,1,0.019327406262079627
01:19Z,1,0.019327406262079627
01:21Z,1,0.019327406262079627
01:25Z,1,0.019327406262079627
01:26Z,1,0.019327406262079627
01:27Z,1,0.019327406262079627
01:29Z,1,0.019327406262079627
01:34Z,1,0.019327406262079627
01:35Z,1,0.019327406262079627
01:39Z,1,0.019327406262079627
01:43Z,1,0.019327406262079627
01:45Z,1,0.019327406262079627
01:54Z,1,0.019327406262079627
01:57Z,1,0.019327406262079627
02:01Z,1,0.019327406262079627
02:03Z,1,0.019327406262079627
02:09Z,1,0.019327406262079627
02:15Z,1,0.019327406262079627
02:16Z,1,0.019327406262079627
02:19Z,1,0.019327406262079627
02:25Z,1,0.019327406262079627
02:26Z,1,0.019327406262079627
02:29Z,1,0.019327406262079627
02:31Z,1,0.019327406262079627
02:32Z,1,0.019327406262079627
02:39Z,1,0.019327406262079627
02:41Z,1,0.019327406262079627
02:42Z,1,0.019327406262079627
02:44Z,1,0.019327406262079627
02:47Z,1,0.019327406262079627
02:50Z,1,0.019327406262079627
02:52Z,1,0.019327406262079627
02:59Z,1,0.019327406262079627
03:01Z,1,0.019327406262079627
03:07Z,1,0.019327406262079627
03:09Z,1,0.019327406262079627
03:10Z,1,0.019327406262079627
03:12Z,1,0.019327406262079627
03:13Z,1,0.019327406262079627
03:17Z,1,0.019327406262079627
03:19Z,1,0.019327406262079627
03:24Z,1,0.019327406262079627
03:31Z,1,0.019327406262079627
03:32Z,1,0.019327406262079627
03:39Z,1,0.019327406262079627
03:40Z,1,0.019327406262079627
03:41Z,1,0.019327406262079627
03:47Z,1,0.019327406262079627
03:51Z,1,0.019327406262079627
04:00Z,1,0.019327406262079627
04:01Z,1,0.019327406262079627
04:04Z,1,0.019327406262079627
04:07Z,1,0.019327406262079627
04:09Z,1,0.019327406262079627
04:12Z,1,0.019327406262079627
04:16Z,1,0.019327406262079627
04:20Z,1,0.019327406262079627
04:23Z,1,0.019327406262079627
04:27Z,1,0.019327406262079627
04:29Z,1,0.019327406262079627
04:32Z,1,0.019327406262079627
04:33Z,1,0.019327406262079627
04:34Z,1,0.019327406262079627
04:37Z,1,0.019327406262079627
04:38Z,1,0.019327406262079627
04:40Z,1,0.019327406262079627
04:47Z,1,0.019327406262079627
04:48Z,1,0.019327406262079627
04:51Z,1,0.019327406262079627
04:55Z,1,0.019327406262079627
