				91.79%									
Date	Tier	Finish Wave	Max Wave	Percentage	Earned Coins	Ad Coins	Total Coins (B)	Time (minutes)	Minutes/Billion	Event Kills	Progress	Kills/Game	Games Left
													
2025-04-24	8	3869	4230	91.47%	4.19	2.1	6.29	350.30	55.7				
2025-04-24	9	2799	3637	76.96%	2.08	1.04	3.12	250.45	80.3				
2025-04-25	7	4306	4839	88.99%	4.42	2.21	6.63	389.10	58.7				
2025-04-25	9	2769	3637	76.13%	2.26	1.13	3.39	247.65	73.1				
2025-04-26	-8	695			0.522	0.261	0.783	59.23	75.6				
2025-04-26	9	2966	3637	81.55%	3.39	1.7	5.09	267.50	52.6				
2025-04-26	9	3441	3637	94.61%	3.31	1.65	4.96	310.07	62.5				
2025-04-26	11	1217	1365	89.16%	0.8799	0.4399	1.3198	106.22	80.5				
2025-04-27	7	4006	4839	82.79%	3.28	1.64	4.92	361.42	73.5				
2025-04-27	11	1200	1365	87.91%	0.905	0.452	1.357	104.25	76.8				
2025-04-27	10	2237	2673	83.69%	2.41	1.21	3.62	199.32	55.1				
2025-04-27	10	2005	2673	75.01%	1.45	0.724	2.174	178.78	82.2				
2025-04-27	10	2469	2673	92.37%	2.69	1.34	4.03	222.92	55.3				
2025-04-28	10	2104	2673	78.71%	1.52	0.76	2.28	187.90	82.4				
2025-04-28	10	2210	2673	82.68%	2.03	1.02	3.05	197.58	64.8				
2025-04-28	10	2156	2673	80.66%	2.42	1.21	3.63	191.80	52.8				
2025-04-28	11	1152	1365	84.40%	1.01	0.506	1.516	99.85	65.9				
2025-04-29	11	1145	1365	83.88%	0.886	0.443	1.329	99.33	74.7				
2025-04-29	11	1051	1365	77.00%	0.695	0.347	1.042	90.43	86.8				
2025-04-29	11	1191	1365	87.25%	0.994	0.497	1.491	104.25	69.9				
2025-04-29	10	2644	2673	98.92%	3.11	1.56	4.67	236.45	50.6				
2025-04-29	-6	842			0.537	0.268	0.805	73.20	90.9				
2025-04-29	10	2072	2673	77.52%	1.79	0.896	2.686	184.48	68.7				
2025-04-30	10	2199	2673	82.27%	2.17	1.08	3.25	195.58	60.2				
2025-04-30	10	2397	2673	89.67%	1.95	0.976	2.926	214.67	73.4				
2025-04-30	9	2895	3637	79.60%	5.23	2.62	7.85	260.58	33.2				
2025-05-01	9	3261	3637	89.66%	3.02	1.51	4.53	293.17	64.7				
2025-05-01	9	3265	3637	89.77%	3.64	1.82	5.46	293.83	53.8				
2025-05-01	9	3017	3637	82.95%	3.73	1.87	5.6	269.72	48.2				
2025-05-02	8	3508	4230	82.93%	2.55	1.28	3.83	315.17	82.3				
2025-05-05	8	4011	4230	94.82%	4.43	2.21	6.64	361.87	54.5				
2025-05-05	9	3397	3637	93.40%	3.82	1.91	5.73	306.30	53.5				
2025-05-06	10	2293	2673	85.78%	1.56	0.77915	2.33915	204.27	87.3				
2025-05-06	-8	809			0.56056	0.28024	0.8408	70.47	83.8				
2025-05-06	11	1219	1365	89.30%	0.8274	0.41364	1.24104	106.72	86.0				
2025-05-07	8	3649	4230	86.26%	3.95	1.98	5.93	328.60	55.4				
2025-05-07	10	2336	2673	87.39%	2.19	1.1	3.29	208.73	63.4				
2025-05-07	10	2665	2673	99.70%	3.23	1.61	4.84	239.87	49.6				
2025-05-07	10	2460	2673	92.03%	2.67	1.34	4.01	219.45	54.7				
2025-05-07	10	2594	2673	97.04%	3.03	1.52	4.55	230.83	50.7				
2025-05-08	10	2278	2673	85.22%	4.48	2.24	6.72	203.35	30.3				
