Number,Count
28,173
23,171
36,166
39,165
21,163
32,163
52,159
12,158
11,157
33,157
59,157
27,156
45,154
47,154
54,153
44,152
40,151
53,151
3,150
19,150
20,149
7,148
16,148
37,147
18,146
8,145
10,145
14,145
22,145
17,144
31,144
41,144
6,143
30,143
1,142
2,142
24,142
58,141
9,140
50,140
38,139
55,139
56,139
4,138
5,138
43,138
57,138
51,137
48,136
29,135
15,132
42,132
49,132
35,130
25,129
34,129
13,128
46,124
26,121
61,119
64,114
69,113
63,111
62,109
67,98
66,97
68,95
60,89
65,83
